Task		Basic		Advanced
PortfolioSite		3.33±2.05/6	1.67±1.25/5
DigitalStorytellingPlatform		4.0±0.0/4	3.0±0.0/3
ElderCareResources		4.0±0.0/4	2.33±0.47/3
DailyHealthTips		3.0±0.82/4	1.67±0.47/3
OnlineVintageMarket		2.0±1.41/4	1.0±1.41/3
PetCareCommunity		3.33±0.94/5	2.0±1.41/4
OnlineTherapeuticJournaling		6.0±0.0/6	5.0±0.0/5
TravelDiary		7.67±0.47/8	6.33±0.94/7
MotivationalQuotesApp		1.67±0.94/8	0.33±0.47/7
CharitableGivingPlatform		2.67±0.47/4	1.33±0.47/3
DailyJournalApp		4.33±0.94/5	3.33±0.94/4
ExpenseTracker		5.0±2.16/8	2.33±0.94/7
FitnessChallenges		4.0±0.0/5	1.33±0.47/4
FitnessEquipmentRental		2.33±0.94/9	0.67±0.47/8
FreelancerMarketplace		3.0±0.0/7	1.0±0.0/6
GardeningForBeginners		2.67±0.94/4	1.33±0.47/3
GourmetFoodSubscription		2.33±0.94/8	0.33±0.47/7
GreenLivingGuide		5.0±1.41/7	4.0±0.82/6
HealthConsultationPlatform		5.0±0.82/6	3.33±1.25/5
MovieRecommendationSystem		4.67±1.25/7	2.67±0.47/6
MusicFestivalDirectory		5.0±0.0/5	4.0±0.0/4
NutritionInformationHub		3.67±1.89/5	2.0±1.63/4
OnlineCulturalExchange		3.67±1.89/6	2.0±1.41/5
OnlineLibraryManagementSystem		2.67±1.25/8	2.33±2.05/7
ParentingAdviceForum		9.0±0.0/9	6.0±0.0/8
PeerTutoringNetwork		6.33±2.36/8	4.67±3.3/7
PersonalBlog		2.33±1.25/7	0.67±0.47/6
RecipeHub		1.0±0.0/8	0.0±0.0/7
RemoteInternshipMarketplace		5.67±0.47/7	3.33±0.47/6
DigitalArtworkGallery		2.0±0.0/5	0.0±0.0/4
EcoFriendlyLivingTips		8.33±0.94/9	4.67±0.94/8
EventPlanner		1.33±0.47/7	0.0±0.0/6
FitnessTracker		6.0±0.82/8	4.33±0.47/7
MusicCollaborator		6.0±0.0/8	4.67±0.47/7
NoteTakingApp		2.33±0.94/7	0.33±0.47/6
OnlineCulturalFestivals		5.0±0.0/5	3.67±0.47/4
OnlineThriftStore		3.67±2.05/9	1.67±1.25/8
PersonalFinanceBlog		3.33±2.05/9	1.67±1.7/8
RemoteJobBoard		4.33±2.36/7	2.0±1.41/6
SkillShare		5.0±1.63/7	2.0±0.82/6
TaskManager		4.0±0.0/4	2.0±0.0/3
VirtualBookPublishing		7.33±0.94/8	7.0±0.0/7
VirtualWellnessRetreats		1.0±0.0/6	0.0±0.0/5
VolunteerMatch		4.0±0.0/4	3.0±0.0/3
OnlineShoppingCenter		4.67±0.94/7	2.67±0.94/6
Overall		183.67±7.36/292	109.67±10.4/247
